date,lat,lng,venue,title,bands
1998-07-25,42.6976,-74.0269,"Altamont Fairgrounds","Edgefest &#x27;98","Blink-182"
1999-06-05,42.6976,-74.0269,"Altamont Fairgrounds","Edgefest &#x27;99","Smashmouth---The Fly&#x27;s---Rob Zombie---Fountains of Wayne---Fuel---Local H---Sponge---Godsmack"
2000-06-03,42.9132,-78.3893,"Darien Lake Performing Arts Center","Blink-182, Bad Religion, Fenix TX","Blink-182---Bad Religion---Fenix TX"
2000-07-17,42.9886,-73.784,"Albany Saratoga Speedway","Vans Warped Tour &#x27;00","The Mighty Mighty Bosstones---Millencolin---No Doubt---Papa Roach---Simple Plan---Suicide Machines---Weezer---Green Day"
2000-08-29,43.0554,-73.8056,"Saratoga Performing Arts Center","Dave Matthews Band","Dave Matthews Band"
2000-12-07,42.6545,-73.7502,"Palace Theatre","First Noel","Fuel---Dexter Freebish"
2000-12-09,42.6484,-73.7546,"Pepsi Arena","Dave Matthews Band, Funky Meters","Dave Matthews Band---Funky Meters"
2001-02-15,42.8687,-73.8233,"Northern Lights","G. Love &amp; Special Sauce","G. Love &amp; Special Sauce"
2001-03-21,42.6543,-73.7731,"Valentine&#x27;s","New Found Glory","New Found Glory"
2001-05-06,42.6976,-74.0269,"Altamont Fairgrounds","Parkfest &#x27;01","The Roots---Goldfinger---They Might Be Giants---Stroke 9"
2001-06-01,42.6543,-73.7731,"Valentine&#x27;s","The Juliana Theory, Showoff, Lucky Boys Confusion","The Juliana Theory---Showoff---Lucky Boys Confusion"
2001-06-08,42.6543,-73.7731,"Valentine&#x27;s","Sum 41, Gob, Shades Apart","Sum 41---Gob---Shades Apart"
2001-07-10,42.8687,-73.8233,"Northern Lights","Saves The Day, Dashboard Confessional","Saves The Day---Dashboard Confessional"
2001-07-22,40.5945,-73.5104,"Jones Beach State Park","Take Off Your Pants and Jacket Tour","Blink-182---New Found Glory"
2001-07-25,42.6501,-73.7599,"Empire State Plaza","moe., Conehead Buddha","moe.---Conehead Buddha"
2001-08-26,42.7396,-73.7981,"Club 797","Plea 4 Peace/Take Action Tour","Alkaline Trio---Hot Water Music"
2001-08-30,42.8687,-73.8233,"Northern Lights","New Found Glory, The Starting Line, The Movielife, Piebald","New Found Glory---The Starting Line---The Movielife---Piebald"
2001-10-26,42.7396,-73.7981,"Club 797","Catch 22","Catch 22"
2001-10-28,42.7396,-73.7981,"Club 797","Good Charlotte, The Movielife","Good Charlotte---The Movielife"
2002-02-17,42.6484,-73.7546,"Pepsi Arena","Weezer, Saves The Day, Ozma","Weezer---Saves The Day---Ozma"
2002-02-25,42.6543,-73.7731,"Valentine&#x27;s","Reaching Forward, Thursday, The Movielife, Most Precious Blood","Reaching Forward---Thursday---The Movielife---Most Precious Blood"
2002-03-22,42.8188,-73.7296,"Saratoga Winners","Midtown, Piebald, Armor For Sleep, Rory Breaker","Midtown---Piebald---Armor For Sleep---Rory Breaker"
2002-04-25,42.6543,-73.7731,"Valentine&#x27;s","Coheed And Cambria, The Starting Line, Finch","Coheed And Cambria---The Starting Line---Finch"
2002-04-27,42.6543,-73.7731,"Valentine&#x27;s","Alkaline Trio","Alkaline Trio"
2002-05-05,42.6976,-74.0269,"Altamont Fairgrounds","Parkfest &#x27;02","Dashboard Confessional---Count the Stars---moe.---Thursday---Breaking Pangaea---Dropkick Murphys---Ghostface Killah---Das EFX"
2002-06-01,42.9132,-78.3893,"Darien Lake Performing Arts Center","Blink-182, Green Day, Saves The Day","Blink-182---Green Day---Saves The Day"
2002-06-04,43.0554,-73.8056,"Saratoga Performing Arts Center","Pop Disaster Tour","Blink-182---Green Day---Saves The Day"
2002-07-09,42.8687,-73.8233,"Northern Lights","Riddlin&#x27; Kids, The Flying Bobbz","Riddlin&#x27; Kids---The Flying Bobbz"
2002-07-13,42.8188,-73.7296,"Saratoga Winners","Coheed And Cambria, F-Timmi","Coheed And Cambria---F-Timmi"
2002-07-20,42.8687,-73.8233,"Northern Lights","Jimmy Eat World, Recover, Desaparecidos","Jimmy Eat World---Recover---Desaparecidos"
2002-08-06,40.4496,-79.9876,"Metropol","They Might Be Giants, Gregory Douglass","They Might Be Giants---Gregory Douglass"
2002-08-10,40.7959,-73.9225,"Randall&#x27;s Island","Vans Warped Tour &#x27;02","Something Corporate---The Movielife---Ozma---No Use For A Name---Rx Bandits---MxPx---The Starting Line---Thrice---Thursday---The Used---Yellowcard---Motion City Soundtrack---Jimmy Eat World---Hot Water Music---Glassjaw---Home Grown---The Mighty Mighty Bosstones---Simple Plan---Nofx---Bad Religion---The Early November---Finch---Good Charlotte"
2002-08-17,42.6543,-73.7731,"Valentine&#x27;s","Hey Mercedes, Piebald, Koufax","Hey Mercedes---Piebald---Koufax"
2002-09-27,43.1244,-77.6233,"University of Rochester","G. Love &amp; Special Sauce, Standing Wave","G. Love &amp; Special Sauce---Standing Wave"
2002-10-03,43.086,-77.6764,"The Ritz (RIT)","Karate","Karate"
2002-10-05,42.941,-78.8917,"Showplace Theatre","Face to Face, Riddlin&#x27; Kids","Face to Face---Riddlin&#x27; Kids"
2002-10-14,43.1605,-77.6114,"Water Street Music Hall","Reel Big Fish, The Starting Line, The Kicks","Reel Big Fish---The Starting Line---The Kicks"
2002-10-20,43.0632,-76.0541,"Bridge Street Music Hall","The Movielife","The Movielife"
2002-10-31,43.1603,-77.6037,"Harro East Ballroom","New Found Glory, Something Corporate, Finch, Further Seems Forever","New Found Glory---Something Corporate---Finch---Further Seems Forever"
2002-11-26,42.8188,-73.7296,"Saratoga Winners","Saves The Day, Ash, Kind of Like Spitting","Saves The Day---Ash---Kind of Like Spitting"
2002-11-30,42.6543,-73.7731,"Valentine&#x27;s","The Movielife, Brand New","The Movielife---Brand New"
2002-12-03,43.0632,-76.0541,"Bridge Street Music Hall","Saves The Day, Kind of Like Spitting, Circle and Square","Saves The Day---Kind of Like Spitting---Circle and Square"
2002-12-14,43.1605,-77.6114,"Water Street Music Hall","Vanessa Carlton","Vanessa Carlton"
2002-12-15,43.1605,-77.6114,"Water Street Music Hall","The Starting Line, Taking Back Sunday, Northstar, The Reunion Show","The Starting Line---Taking Back Sunday---Northstar---The Reunion Show"
2002-12-28,42.8188,-73.7296,"Saratoga Winners","Coheed And Cambria","Coheed And Cambria"
2003-02-01,42.8148,-73.9316,"Union College","The Movielife, The Flying Bobbz","The Movielife---The Flying Bobbz"
2003-03-18,43.1605,-77.6114,"Water Street Music Hall","Sno-Core","Glassjaw---Sparta---Hot Water Music"
